['$GNRMC', '185917.00', 'A', '6004.25982', 'N', '03015.60638', 'E', '0.006', '', '250525', '', '', 'D*61\r\n']
['$GNRMC', '185918.00', 'A', '6004.25979', 'N', '03015.60644', 'E', '0.067', '', '250525', '', '', 'D*66\r\n']
['$GNRMC', '185922.00', 'A', '6004.25970', 'N', '03015.60663', 'E', '0.059', '', '250525', '', '', 'D*6E\r\n']
['$GNRMC', '185923.00', 'A', '6004.25966', 'N', '03015.60665', 'E', '0.065', '', '250525', '', '', 'D*61\r\n']
['$GNRMC', '185936.00', 'A', '6004.25962', 'N', '03015.60675', 'E', '0.041', '', '250525', '', '', 'D*66\r\n']
['$GNRMC', '185937.00', 'A', '6004.25977', 'N', '03015.60731', 'E', '0.021', '', '250525', '', '', 'D*64\r\n']
['$GNRMC', '185938.00', 'A', '6004.25982', 'N', '03015.60720', 'E', '0.057', '', '250525', '', '', 'D*60\r\n']
['$GNRMC', '185939.00', 'A', '6004.25989', 'N', '03015.60705', 'E', '0.020', '', '250525', '', '', 'D*6D\r\n']
['$GNRMC', '185950.00', 'A', '6004.26041', 'N', '03015.60809', 'E', '0.026', '', '250525', '', '', 'D*69\r\n']
['$GNRMC', '185951.00', 'A', '6004.26048', 'N', '03015.60837', 'E', '0.043', '', '250525', '', '', 'D*6F\r\n']
['$GNRMC', '185952.00', 'A', '6004.26051', 'N', '03015.60865', 'E', '0.084', '', '250525', '', '', 'D*68\r\n']
['$GNRMC', '185953.00', 'A', '6004.26054', 'N', '03015.60896', 'E', '0.066', '', '250525', '', '', 'D*6C\r\n']
['$GNRMC', '185954.00', 'A', '6004.26054', 'N', '03015.60922', 'E', '0.033', '', '250525', '', '', 'D*65\r\n']
['$GNRMC', '185955.00', 'A', '6004.26055', 'N', '03015.60949', 'E', '0.041', '', '250525', '', '', 'D*6D\r\n']
['$GNRMC', '185956.00', 'A', '6004.26056', 'N', '03015.60973', 'E', '0.077', '', '250525', '', '', 'D*61\r\n']
['$GNRMC', '185957.00', 'A', '6004.26055', 'N', '03015.60998', 'E', '0.083', '', '250525', '', '', 'D*6D\r\n']
['$GNRMC', '185958.00', 'A', '6004.26053', 'N', '03015.61017', 'E', '0.029', '', '250525', '', '', 'D*6B\r\n']
['$GNRMC', '185959.00', 'A', '6004.26054', 'N', '03015.61008', 'E', '0.019', '', '250525', '', '', 'D*60\r\n']
['$GNRMC', '190000.00', 'A', '6004.26053', 'N', '03015.61031', 'E', '0.009', '', '250525', '', '', 'D*6D\r\n']
['$GNRMC', '190001.00', 'A', '6004.26050', 'N', '03015.61051', 'E', '0.008', '', '250525', '', '', 'D*68\r\n']
['$GNRMC', '190002.00', 'A', '6004.26046', 'N', '03015.61071', 'E', '0.040', '', '250525', '', '', 'D*62\r\n']
['$GNRMC', '190003.00', 'A', '6004.26042', 'N', '03015.61094', 'E', '0.043', '', '250525', '', '', 'D*6F\r\n']
['$GNRMC', '190004.00', 'A', '6004.26038', 'N', '03015.61122', 'E', '0.063', '', '250525', '', '', 'D*6B\r\n']
['$GNRMC', '190456.00', 'A', '6004.26243', 'N', '03015.64447', 'E', '0.016', '', '250525', '', '', 'D*67\r\n']
['$GNRMC', '190457.00', 'A', '6004.26238', 'N', '03015.64451', 'E', '0.003', '', '250525', '', '', 'D*69\r\n']
['$GNRMC', '190458.00', 'A', '6004.26235', 'N', '03015.64458', 'E', '0.014', '', '250525', '', '', 'D*64\r\n']
['$GNRMC', '190459.00', 'A', '6004.26232', 'N', '03015.64465', 'E', '0.038', '', '250525', '', '', 'D*62\r\n']
['$GNRMC', '190500.00', 'A', '6004.26230', 'N', '03015.64473', 'E', '0.018', '', '250525', '', '', 'D*68\r\n']
['$GNRMC', '190733.00', 'A', '6004.26190', 'N', '03015.63391', 'E', '0.087', '', '250525', '', '', 'D*69\r\n']
['$GNRMC', '190734.00', 'A', '6004.26184', 'N', '03015.63348', 'E', '0.060', '', '250525', '', '', 'D*66\r\n']
['$GNRMC', '190735.00', 'A', '6004.26177', 'N', '03015.63305', 'E', '0.101', '', '250525', '', '', 'D*64\r\n']
['$GNRMC', '190736.00', 'A', '6004.26171', 'N', '03015.63256', 'E', '0.091', '', '250525', '', '', 'D*6E\r\n']
['$GNRMC', '190737.00', 'A', '6004.26165', 'N', '03015.63210', 'E', '0.040', '', '250525', '', '', 'D*64\r\n']
['$GNRMC', '190738.00', 'A', '6004.26155', 'N', '03015.63185', 'E', '0.035', '', '250525', '', '', 'D*65\r\n']
['$GNRMC', '190739.00', 'A', '6004.26148', 'N', '03015.63144', 'E', '0.126', '', '250525', '', '', 'D*66\r\n']
['$GNRMC', '190740.00', 'A', '6004.26140', 'N', '03015.63105', 'E', '0.178', '', '250525', '', '', 'D*6E\r\n']
['$GNRMC', '190741.00', 'A', '6004.26129', 'N', '03015.63085', 'E', '0.031', '', '250525', '', '', 'D*65\r\n']
['$GNRMC', '190742.00', 'A', '6004.26124', 'N', '03015.63037', 'E', '0.009', '', '250525', '', '', 'D*69\r\n']
['$GNRMC', '190743.00', 'A', '6004.26120', 'N', '03015.62972', 'E', '0.081', '', '250525', '', '', 'D*65\r\n']
['$GNRMC', '190744.00', 'A', '6004.26114', 'N', '03015.62919', 'E', '0.016', '', '250525', '', '', 'D*66\r\n']
['$GNRMC', '190745.00', 'A', '6004.26109', 'N', '03015.62869', 'E', '0.067', '', '250525', '', '', 'D*6B\r\n']
['$GNRMC', '190746.00', 'A', '6004.26104', 'N', '03015.62820', 'E', '0.057', '', '250525', '', '', 'D*6B\r\n']
['$GNRMC', '190747.00', 'A', '6004.26099', 'N', '03015.62787', 'E', '0.015', '', '250525', '', '', 'D*6B\r\n']
['$GNRMC', '190748.00', 'A', '6004.26093', 'N', '03015.62757', 'E', '0.041', '', '250525', '', '', 'D*62\r\n']
['$GNRMC', '190749.00', 'A', '6004.26087', 'N', '03015.62720', 'E', '0.046', '', '250525', '', '', 'D*61\r\n']
['$GNRMC', '190750.00', 'A', '6004.26080', 'N', '03015.62678', 'E', '0.017', '', '250525', '', '', 'D*66\r\n']
['$GNRMC', '190751.00', 'A', '6004.26071', 'N', '03015.62641', 'E', '0.075', '', '250525', '', '', 'D*67\r\n']
['$GNRMC', '190752.00', 'A', '6004.26069', 'N', '03015.62589', 'E', '0.197', '', '250525', '', '', 'D*67\r\n']
['$GNRMC', '190753.00', 'A', '6004.26065', 'N', '03015.62538', 'E', '0.221', '', '250525', '', '', 'D*6E\r\n']
['$GNRMC', '190754.00', 'A', '6004.26062', 'N', '03015.62493', 'E', '0.169', '', '250525', '', '', 'D*61\r\n']
['$GNRMC', '190755.00', 'A', '6004.26060', 'N', '03015.62454', 'E', '0.177', '', '250525', '', '', 'D*66\r\n']
['$GNRMC', '190756.00', 'A', '6004.26054', 'N', '03015.62419', 'E', '0.153', '', '250525', '', '', 'D*6D\r\n']
['$GNRMC', '190757.00', 'A', '6004.26049', 'N', '03015.62400', 'E', '0.042', '', '250525', '', '', 'D*69\r\n']
['$GNRMC', '190758.00', 'A', '6004.26044', 'N', '03015.62389', 'E', '0.037', '', '250525', '', '', 'D*6F\r\n']
['$GNRMC', '190759.00', 'A', '6004.26040', 'N', '03015.62370', 'E', '0.092', '', '250525', '', '', 'D*63\r\n']
['$GNRMC', '190800.00', 'A', '6004.26035', 'N', '03015.62357', 'E', '0.134', '', '250525', '', '', 'D*6A\r\n']
['$GNRMC', '190801.00', 'A', '6004.26029', 'N', '03015.62346', 'E', '0.149', '', '250525', '', '', 'D*6C\r\n']
['$GNRMC', '190802.00', 'A', '6004.26023', 'N', '03015.62332', 'E', '0.159', '', '250525', '', '', 'D*67\r\n']
['$GNRMC', '190803.00', 'A', '6004.26021', 'N', '03015.62318', 'E', '0.041', '', '250525', '', '', 'D*64\r\n']
['$GNRMC', '190804.00', 'A', '6004.26020', 'N', '03015.62308', 'E', '0.014', '', '250525', '', '', 'D*63\r\n']
['$GNRMC', '190805.00', 'A', '6004.26021', 'N', '03015.62295', 'E', '0.132', '', '250525', '', '', 'D*63\r\n']
['$GNRMC', '190806.00', 'A', '6004.26019', 'N', '03015.62262', 'E', '0.099', '', '250525', '', '', 'D*63\r\n']
['$GNRMC', '190807.00', 'A', '6004.26016', 'N', '03015.62242', 'E', '0.061', '', '250525', '', '', 'D*68\r\n']
['$GNRMC', '190808.00', 'A', '6004.26012', 'N', '03015.62209', 'E', '0.152', '', '250525', '', '', 'D*6D\r\n']
['$GNRMC', '190809.00', 'A', '6004.26009', 'N', '03015.62177', 'E', '0.193', '', '250525', '', '', 'D*61\r\n']
['$GNRMC', '190810.00', 'A', '6004.26005', 'N', '03015.62156', 'E', '0.121', '', '250525', '', '', 'D*6F\r\n']
['$GNRMC', '190811.00', 'A', '6004.26000', 'N', '03015.62145', 'E', '0.059', '', '250525', '', '', 'D*67\r\n']
['$GNRMC', '190812.00', 'A', '6004.25995', 'N', '03015.62131', 'E', '0.060', '', '250525', '', '', 'D*6B\r\n']
['$GNRMC', '190813.00', 'A', '6004.25989', 'N', '03015.62117', 'E', '0.101', '', '250525', '', '', 'D*65\r\n']
['$GNRMC', '190814.00', 'A', '6004.25981', 'N', '03015.62102', 'E', '0.082', '', '250525', '', '', 'D*64\r\n']
['$GNRMC', '190815.00', 'A', '6004.25973', 'N', '03015.62094', 'E', '0.041', '', '250525', '', '', 'D*69\r\n']
