['$GNRMC', '113720.00', 'A', '6004.25227', 'N', '03015.64599', 'E', '0.009', '', '250525', '', '', 'D*63\r\n']
['$GNRMC', '113721.00', 'A', '6004.25229', 'N', '03015.64624', 'E', '0.055', '', '250525', '', '', 'D*60\r\n']
['$GNRMC', '113722.00', 'A', '6004.25230', 'N', '03015.64630', 'E', '0.005', '', '250525', '', '', 'D*6B\r\n']
['$GNRMC', '113723.00', 'A', '6004.25228', 'N', '03015.64625', 'E', '0.052', '', '250525', '', '', 'D*65\r\n']
['$GNRMC', '113724.00', 'A', '6004.25223', 'N', '03015.64626', 'E', '0.044', '', '250525', '', '', 'D*6D\r\n']
['$GNRMC', '113725.00', 'A', '6004.25215', 'N', '03015.64635', 'E', '0.008', '', '250525', '', '', 'D*63\r\n']
['$GNRMC', '113726.00', 'A', '6004.25204', 'N', '03015.64650', 'E', '0.047', '', '250525', '', '', 'D*68\r\n']
['$GNRMC', '113727.00', 'A', '6004.25194', 'N', '03015.64668', 'E', '0.066', '', '250525', '', '', 'D*6B\r\n']
['$GNRMC', '113728.00', 'A', '6004.25187', 'N', '03015.64655', 'E', '0.044', '', '250525', '', '', 'D*68\r\n']
['$GNRMC', '113729.00', 'A', '6004.25184', 'N', '03015.64654', 'E', '0.025', '', '250525', '', '', 'D*6C\r\n']
['$GNRMC', '113730.00', 'A', '6004.25186', 'N', '03015.64652', 'E', '0.019', '', '250525', '', '', 'D*6F\r\n']
['$GNRMC', '113731.00', 'A', '6004.25190', 'N', '03015.64648', 'E', '0.061', '', '250525', '', '', 'D*6D\r\n']
['$GNRMC', '113732.00', 'A', '6004.25196', 'N', '03015.64634', 'E', '0.031', '', '250525', '', '', 'D*66\r\n']
['$GNRMC', '113733.00', 'A', '6004.25201', 'N', '03015.64632', 'E', '0.008', '', '250525', '', '', 'D*66\r\n']
['$GNRMC', '113734.00', 'A', '6004.25206', 'N', '03015.64642', 'E', '0.009', '', '250525', '', '', 'D*60\r\n']
['$GNRMC', '113735.00', 'A', '6004.25210', 'N', '03015.64664', 'E', '0.008', '', '250525', '', '', 'D*63\r\n']
['$GNRMC', '113736.00', 'A', '6004.25214', 'N', '03015.64667', 'E', '0.023', '', '250525', '', '', 'D*6E\r\n']
['$GNRMC', '113737.00', 'A', '6004.25216', 'N', '03015.64672', 'E', '0.069', '', '250525', '', '', 'D*67\r\n']
['$GNRMC', '113738.00', 'A', '6004.25218', 'N', '03015.64679', 'E', '0.041', '', '250525', '', '', 'D*67\r\n']
['$GNRMC', '113739.00', 'A', '6004.25221', 'N', '03015.64693', 'E', '0.010', '', '250525', '', '', 'D*6C\r\n']
['$GNRMC', '113740.00', 'A', '6004.25225', 'N', '03015.64693', 'E', '0.019', '', '250525', '', '', 'D*6F\r\n']
['$GNRMC', '113741.00', 'A', '6004.25228', 'N', '03015.64678', 'E', '0.028', '', '250525', '', '', 'D*64\r\n']
['$GNRMC', '113742.00', 'A', '6004.25229', 'N', '03015.64663', 'E', '0.057', '', '250525', '', '', 'D*64\r\n']
['$GNRMC', '113743.00', 'A', '6004.25230', 'N', '03015.64658', 'E', '0.012', '', '250525', '', '', 'D*64\r\n']
['$GNRMC', '113744.00', 'A', '6004.25231', 'N', '03015.64669', 'E', '0.035', '', '250525', '', '', 'D*65\r\n']
['$GNRMC', '113745.00', 'A', '6004.25232', 'N', '03015.64671', 'E', '0.024', '', '250525', '', '', 'D*6E\r\n']
['$GNRMC', '113746.00', 'A', '6004.25235', 'N', '03015.64688', 'E', '0.022', '', '250525', '', '', 'D*6A\r\n']
['$GNRMC', '113747.00', 'A', '6004.25235', 'N', '03015.64726', 'E', '0.020', '', '250525', '', '', 'D*6C\r\n']
['$GNRMC', '113748.00', 'A', '6004.25234', 'N', '03015.64761', 'E', '0.016', '', '250525', '', '', 'D*64\r\n']
['$GNRMC', '113749.00', 'A', '6004.25233', 'N', '03015.64789', 'E', '0.041', '', '250525', '', '', 'D*66\r\n']
['$GNRMC', '113750.00', 'A', '6004.25233', 'N', '03015.64809', 'E', '0.010', '', '250525', '', '', 'D*6D\r\n']
['$GNRMC', '113751.00', 'A', '6004.25232', 'N', '03015.64836', 'E', '0.024', '', '250525', '', '', 'D*66\r\n']
['$GNRMC', '113752.00', 'A', '6004.25231', 'N', '03015.64859', 'E', '0.024', '', '250525', '', '', 'D*6F\r\n']
['$GNRMC', '113753.00', 'A', '6004.25233', 'N', '03015.64871', 'E', '0.020', '', '250525', '', '', 'D*62\r\n']
['$GNRMC', '113754.00', 'A', '6004.25236', 'N', '03015.64889', 'E', '0.049', '', '250525', '', '', 'D*68\r\n']
['$GNRMC', '113755.00', 'A', '6004.25238', 'N', '03015.64904', 'E', '0.014', '', '250525', '', '', 'D*6B\r\n']
['$GNRMC', '113756.00', 'A', '6004.25239', 'N', '03015.64913', 'E', '0.029', '', '250525', '', '', 'D*61\r\n']
['$GNRMC', '113757.00', 'A', '6004.25239', 'N', '03015.64928', 'E', '0.016', '', '250525', '', '', 'D*64\r\n']
['$GNRMC', '113758.00', 'A', '6004.25240', 'N', '03015.64936', 'E', '0.042', '', '250525', '', '', 'D*6B\r\n']
['$GNRMC', '113759.00', 'A', '6004.25242', 'N', '03015.64944', 'E', '0.014', '', '250525', '', '', 'D*6E\r\n']
['$GNRMC', '113800.00', 'A', '6004.25243', 'N', '03015.64950', 'E', '0.026', '', '250525', '', '', 'D*68\r\n']
['$GNRMC', '113801.00', 'A', '6004.25246', 'N', '03015.64959', 'E', '0.020', '', '250525', '', '', 'D*63\r\n']
['$GNRMC', '113802.00', 'A', '6004.25250', 'N', '03015.64969', 'E', '0.026', '', '250525', '', '', 'D*62\r\n']
['$GNRMC', '113803.00', 'A', '6004.25256', 'N', '03015.64974', 'E', '0.032', '', '250525', '', '', 'D*6C\r\n']
['$GNRMC', '113804.00', 'A', '6004.25263', 'N', '03015.64983', 'E', '0.069', '', '250525', '', '', 'D*6B\r\n']
['$GNRMC', '113805.00', 'A', '6004.25268', 'N', '03015.64997', 'E', '0.039', '', '250525', '', '', 'D*61\r\n']
['$GNRMC', '113806.00', 'A', '6004.25273', 'N', '03015.65015', 'E', '0.029', '', '250525', '', '', 'D*6B\r\n']
